yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
49842023,4984,2023,IL0225000,IL0225000,,N,N,,I,NAPERVILLE PARK DISTRICT,NAPERVILLE PARK DISTRICT,Naperville Park District,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,Other,0,23367,ILUCR0001,Illinois State Police,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,0,0,2006-12-01,2021-01-01,2022-04-01,2022-04-01,2022-04-01,2022-04-01,N,DUPAGE,"Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
49872023,4987,2023,IL0230000,IL0230000,,N,N,,I,EDGAR,EDGAR CO SO PARIS,Edgar,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,County,6433,23367,ILUCR0001,Illinois State Police,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,10,7,17,0,10,10,1.6,4.2,2006-12-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,EDGAR,Not Specified,Y,Y,Y
49892023,4989,2023,IL0230300,IL0230300,,N,N,,I,PARIS,PARIS PD,Paris,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,7997,23367,ILUCR0001,Illinois State Police,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,14,2,16,0,4,4,1.8,2.5,2006-12-01,2021-06-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,EDGAR,Not Specified,Y,Y,Y
49902023,4990,2023,IL0240000,IL0240000,,N,N,,I,EDWARDS,EDWARDS CO SO ALBION,Edwards,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,County,2752,23367,ILUCR0001,Illinois State Police,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,3,4,7,0,0,0,1.1,2.5,2006-12-01,2022-07-01,2022-07-01,2022-07-01,2022-07-01,2022-07-01,N,EDWARDS,Not Specified,Y,Y,Y
49932023,4993,2023,IL0250000,IL0250000,,N,N,,I,EFFINGHAM,EFFINGHAM CO SO EFFINGHAM,Effingham,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,County,18324,23367,ILUCR0001,Illinois State Police,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,21,19,40,0,9,9,1.1,2.7,2006-12-01,2022-01-01,2022-05-01,2022-05-01,2022-05-01,2022-05-01,N,EFFINGHAM,Not Specified,Y,Y,Y
49942023,4994,2023,IL0250100,IL0250100,,N,N,,I,ALTAMONT,ALTAMONT PD,Altamont,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,2173,23367,ILUCR0001,Illinois State Police,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,1,0,1,1.8,1.8,2006-12-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,EFFINGHAM,Not Specified,Y,Y,Y
49952023,4995,2023,IL0250200,IL0250200,,N,N,,I,EFFINGHAM,EFFINGHAM PD,Effingham,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,12169,23367,ILUCR0001,Illinois State Police,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,24,2,26,1,12,13,2.1,3.2,2006-12-01,2022-01-01,2022-04-01,2022-04-01,2022-04-01,2022-04-01,N,EFFINGHAM,Not Specified,Y,Y,Y
49982023,4998,2023,IL0260000,IL0260000,,N,N,,I,FAYETTE,FAYETTE CO SO VANDALIA,Fayette,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,County,11286,23367,ILUCR0001,Illinois State Police,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,12,10,22,0,6,6,1.1,2.5,2006-12-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,N,FAYETTE,Not Specified,Y,Y,Y
50022023,5002,2023,IL0260400,IL0260400,,N,N,,I,VANDALIA,VANDALIA PD,Vandalia,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,7372,23367,ILUCR0001,Illinois State Police,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,12,0,12,0,0,0,1.6,1.6,2006-12-01,2022-01-01,2022-05-01,2022-05-01,2022-05-01,2022-05-01,N,FAYETTE,Not Specified,Y,Y,Y
50042023,5004,2023,IL0270000,IL0270000,,N,N,,I,FORD,FORD CO SO PAXTON,Ford,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,County,5521,23367,ILUCR0001,Illinois State Police,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,,,2006-12-01,2021-06-01,2022-04-01,2022-04-01,2022-04-01,2022-04-01,N,FORD,"Champaign-Urbana, IL",Y,Y,Y
50062023,5006,2023,IL0270200,IL0270200,,N,N,,I,PAXTON,PAXTON PD,Paxton,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,4300,23367,ILUCR0001,Illinois State Police,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2006-12-01,2022-08-01,2022-09-01,2022-09-01,2022-09-01,2022-09-01,N,FORD,"Champaign-Urbana, IL",Y,Y,Y
50102023,5010,2023,IL0280200,IL0280200,,N,N,,I,CHRISTOPHER,CHRISTOPHER POLICE DEPARTMENT,Christopher,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,2626,23367,ILUCR0001,Illinois State Police,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2006-12-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,FRANKLIN,Not Specified,Y,Y,Y
50122023,5012,2023,IL0280400,IL0280400,,N,N,,I,SESSER,SESSER PD,Sesser,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,1850,23367,ILUCR0001,Illinois State Police,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,0,0,0,2.7,2.7,2006-12-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,FRANKLIN,Not Specified,Y,Y,Y
50152023,5015,2023,IL0280900,IL0280900,,N,N,,I,WEST CITY,WEST CITY PD WEST BENTON,West City,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,639,23367,ILUCR0001,Illinois State Police,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,6,1,7,1,3,4,11.0,17.2,2006-12-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,FRANKLIN,Not Specified,Y,Y,Y
50222023,5022,2023,IL0290400,IL0290400,,N,N,,I,FARMINGTON,FARMINGTON PD,Farmington,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,2321,23367,ILUCR0001,Illinois State Police,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,0,0,0,2.2,2.2,2006-12-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,FULTON,Not Specified,Y,Y,Y
50292023,5029,2023,IL0291800,IL0291800,IL0290200,N,N,,I,CANTON PARK DISTRICT,CANTON PARK DISTRICT,Canton Park District,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,Other,0,23367,ILUCR0001,Illinois State Police,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,0,0,2006-12-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,Y,FULTON,Not Specified,N,Y,N
