data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2023,5,172847362,0.600,1,16143805
2023,12,172847363,1.000,1,16143806
2023,15,172847363,3.000,9,16143807
2023,5,172847366,9.000,1,16143808
2023,5,172847366,1.000,9,16143809
2023,5,180885209,7.700,1,17229921
2023,5,172847372,82.000,1,16143810
2023,5,180885213,1.000,1,17229922
2023,5,172847377,28.000,1,16143811
2023,12,180885218,4.000,1,17229923
2023,5,172847390,2.000,1,16143812
2023,5,172847391,3.500,1,16143813
2023,5,172847396,4.900,1,16143814
2023,5,172847401,1.000,9,16143815
2023,12,172847403,5.500,1,16143816
2023,2,172847411,1.000,1,16143817
2023,5,172847414,2.000,1,16143818
2023,5,172847415,28.000,1,16143819
2023,5,172847424,2.500,1,16143820
2023,5,180885232,1.000,1,17229924
2023,2,172847426,0.300,1,16143821
2023,5,180885235,5.600,1,17229925
2023,7,180885238,15.000,9,17229926
2023,5,172847429,6.500,1,16143822
2023,5,180885242,7.000,1,17229927
2023,5,172847430,58.600,1,16143823
2023,5,172847432,1.000,1,16143824
2023,5,180885245,1.000,9,17229928
2023,5,180885248,5.000,1,17229929
2023,2,180885249,1.000,1,17229930
2023,5,180885250,1.000,1,17229931
2023,2,180885256,0.100,1,17229932
2023,5,180885265,0.050,1,17229933
2023,1,176294752,1.000,1,16593146
2023,5,180885270,1.000,9,17229934
2023,12,180885270,0.300,1,17229935
2023,2,180885273,0.200,1,17229936
2023,5,176294759,1.400,1,16593147
2023,5,176294761,12.000,1,16593148
2023,5,176294762,15.000,1,16593149
2023,5,176294775,1.000,1,16593150
2023,5,176294777,1.000,1,16593151
2023,5,176294782,2.000,9,16593152
2023,2,176294784,0.010,1,16593153
2023,5,176294787,10.000,1,16593154
2023,5,176294799,14.000,1,16593155
2023,5,176294802,1.000,1,16593156
2023,13,176294811,75.900,1,16593157
2023,5,176294811,36.000,1,16593158
2023,5,176294815,4.200,1,16593159
2023,5,180885280,3.800,1,17229937
2023,5,176294818,1.000,1,16593160
2023,2,176294818,1.000,1,16593161
2023,5,180885283,1.000,1,17229938
2023,5,180885295,5.200,1,17229939
2023,8,180885302,2.000,9,17229940
2023,5,180885304,18.500,1,17229941
2023,11,180885306,5.000,9,17229942
2023,5,180885314,1.000,1,17229945
2023,5,180885314,1.000,9,17229946
2023,5,180885315,4.000,1,17229947
2023,5,180885317,5.600,1,17229948
2023,5,180885318,1.000,1,17229949
2023,5,180885319,2.000,1,17229950
2023,5,180885328,26.800,1,17229951
2023,5,180885330,2.000,1,17229952
2023,5,180885331,2.700,1,17229953
2023,12,179172808,4.000,1,16986266
2023,5,179172817,2.000,1,16986267
2023,5,179172819,1.000,1,16986268
2023,5,179172829,6.800,1,16986269
2023,5,179172856,9.000,1,16986270
2023,5,180885350,1.000,1,17229954
2023,12,180885351,4.900,1,17229955
2023,4,180885351,1.000,1,17229956
2023,12,169310457,1.000,9,15643440
2023,4,170451818,2.000,1,15802420
2023,4,171702932,1.000,1,15975163
2023,1,165948489,0.500,1,15144844
2023,1,168139002,1.000,1,15454771
2023,1,168139004,1.000,1,15454772
2023,5,168211822,1.000,1,15466724
2023,5,169310458,1.000,1,15643441
2023,5,172140288,2.000,1,16043779
2023,1,173812012,1.000,1,16273712
2023,8,172140300,4.000,1,16043781
2023,12,175073881,1.000,1,16429155
2023,1,175073886,1.000,1,16429156
2023,5,178083996,13.000,1,16833669
2023,12,178083997,1.000,1,16833670
2023,12,165174324,1.700,1,15029668
2023,4,165174325,3.000,9,15029669
2023,12,165174325,2.000,9,15029670
2023,12,172239716,1.000,1,16055460
2023,5,165174327,2.000,1,15029672
