"DATA_YEAR","VICTIM_ID","INJURY_ID"
2020,147003061,5
2020,146997468,5
2020,146997669,5
2020,147003102,4
2020,147003315,7
2020,146997423,5
2020,146997586,4
2020,146997658,4
2020,146997743,4
2020,146997899,5
2020,146997900,5
2020,147003026,4
2020,147003172,4
2020,147003239,5
2020,147000540,5
2020,148938617,5
2020,148938480,4
2020,148938484,4
2020,148938508,4
2020,148938625,5
2020,148938825,5
2020,146997459,4
2020,146997475,5
2020,146997784,5
2020,147003177,4
2020,147003205,5
2020,147003204,5
2020,147003206,5
2020,146997449,4
2020,147000435,5
2020,146997685,4
2020,146997692,4
2020,146997877,4
2020,146997881,4
2020,146997873,6
2020,146997876,6
2020,146997880,5
2020,146997889,4
2020,146997891,4
2020,147002916,4
2020,147003129,5
2020,147003201,4
2020,147000528,5
2020,147003266,5
2020,147003333,4
2020,147003353,4
2020,147003353,2
2020,149050994,4
2020,149046876,5
2020,149046875,5
2020,149050706,4
2020,149050760,5
2020,149046939,4
2020,149050783,5
2020,149050797,5
2020,149050820,4
2020,149050914,5
2020,149047111,5
2020,148938555,5
2020,148938551,6
2020,148938557,5
2020,148938663,5
2020,148938660,5
2020,148938665,5
2020,148938659,5
2020,148938750,4
2020,147000307,5
2020,146997271,4
2020,146997312,2
2020,146997312,4
2020,146997332,5
2020,149047295,5
2020,149051202,4
2020,149046991,4
2020,149047018,6
2020,149047165,2
