DATA_YEAR,AGENCY_ID,INCIDENT_ID,NIBRS_MONTH_ID,CARGO_THEFT_FLAG,SUBMISSION_DATE,INCIDENT_DATE,REPORT_DATE_FLAG,INCIDENT_HOUR,CLEARED_EXCEPT_ID,CLEARED_EXCEPT_DATE,INCIDENT_STATUS,DATA_HOME,ORIG_FORMAT,DID
2020,5659,130100874,8554545,,26-OCT-20,25-MAY-20,,2,6,,0,C,F,85580535
2020,5659,130100858,8554545,,26-OCT-20,03-MAY-20,,12,6,,0,C,F,85580500
2020,5659,130100952,8530674,,26-OCT-20,29-JUN-20,,9,6,,0,C,F,85583845
2020,5659,130106382,8523652,,26-OCT-20,02-JUL-20,,2,6,,0,C,F,85583879
2020,5659,130100992,8523652,,26-OCT-20,02-JUL-20,,21,6,,0,C,F,85580731
2020,5659,130106408,8523652,,26-OCT-20,03-JUL-20,,21,6,,0,C,F,85580748
2020,5659,130106415,8523652,,26-OCT-20,05-JUL-20,,3,2,12-JUL-20,0,C,F,85583920
2020,5659,130106461,8523652,,26-OCT-20,08-JUL-20,,1,2,13-JUL-20,0,C,F,85583965
2020,5659,130106474,8523652,,26-OCT-20,08-JUL-20,,12,6,,0,C,F,85583973
2020,5659,130106514,8523652,,26-OCT-20,10-JUL-20,,12,6,,0,C,F,85580867
2020,5659,130111106,8523652,,26-OCT-20,12-JUL-20,,2,6,,0,C,F,85584024
2020,5659,130111113,8523652,,26-OCT-20,12-JUL-20,,15,6,,0,C,F,85580899
2020,5659,130111121,8523652,,26-OCT-20,12-JUL-20,,18,6,,0,C,F,85584044
2020,5659,130106552,8523652,,26-OCT-20,13-JUL-20,,15,6,,0,C,F,85580916
2020,5659,130111192,8523652,,26-OCT-20,08-JUL-20,,17,6,,0,C,F,85580978
2020,5659,130106604,8523652,,26-OCT-20,16-JUL-20,,20,6,,0,C,F,85580987
2020,5659,130111217,8523652,,26-OCT-20,18-JUL-20,,1,6,,0,C,F,85584175
2020,5659,130111236,8523652,,26-OCT-20,19-JUL-20,,4,6,,0,C,F,85581037
2020,5659,130111245,8523652,,26-OCT-20,19-JUL-20,,22,6,,0,C,F,85581045
2020,5659,130111265,8523652,,26-OCT-20,21-JUL-20,,3,6,,0,C,F,85584233
2020,5659,130111272,8523652,,26-OCT-20,22-JUL-20,,1,6,,0,C,F,85584253
2020,5659,130106699,8523652,,26-OCT-20,20-JUL-20,,3,6,,0,C,F,85581097
2020,5659,130111288,8523652,,26-OCT-20,20-JUL-20,,19,2,29-JUL-20,0,C,F,85581106
2020,5659,130106712,8523652,,26-OCT-20,20-JUL-20,,17,6,,0,C,F,85584275
2020,5659,130106750,8523652,,26-OCT-20,24-JUL-20,,21,6,,0,C,F,85584318
2020,5659,130106777,8523652,,26-OCT-20,26-JUL-20,,17,6,,0,C,F,85581190
2020,5659,130106813,8523652,,26-OCT-20,28-JUL-20,,20,6,,0,C,F,85581236
2020,5659,130111394,8523652,,26-OCT-20,28-JUL-20,,23,6,,0,C,F,85581239
2020,5659,130106855,8523652,,26-OCT-20,29-JUL-20,,20,6,,0,C,F,85581288
2020,5659,130111449,8523652,,26-OCT-20,26-JUL-20,,9,6,,0,C,F,85581304
2020,5659,130111460,8523652,,26-OCT-20,29-JUL-20,,14,6,,0,C,F,85584491
2020,5659,130106293,8554545,,26-OCT-20,13-MAY-20,,17,6,,0,C,F,85583717
2020,5659,130100877,8554545,,26-OCT-20,24-MAY-20,,19,6,,0,C,F,85580538
2020,5659,130100886,8554545,,26-OCT-20,29-MAY-20,,16,6,,0,C,F,85580551
